Time,AVz,Ay,Steer_SW
            0,             0, 1.69714094227e-05,             0
        0.025, 0.00767535669729, 0.0022862367332, -0.00359199079685
         0.05, 0.0256827715784, 0.00300595420413, -0.0231493394822
        0.075, 0.0491889379919, 0.00300448131748, -0.0653629302979
          0.1, 0.0755434110761, 0.00280040339567, -0.131200015545
        0.125, 0.102700978518, 0.00267350138165, -0.219091534615
         0.15, 0.128766730428, 0.00272635812871, -0.326645344496
        0.175, 0.152098923922, 0.0029400519561, -0.45147550106
          0.2, 0.171503379941, 0.00322901736945, -0.591493964195
        0.225, 0.18642039597, 0.00348119786941, -0.744892776012
         0.25, 0.196888700128, 0.00365072628483, -0.910005688667
        0.275, 0.203171253204, 0.00373588083312, -1.08511686325
          0.3, 0.20577993989, 0.00373314460739, -1.26830101013
        0.325, 0.205372601748, 0.00366529403254, -1.45737528801
         0.35, 0.202555537224, 0.00357331382111, -1.64994680882
        0.375, 0.197749227285, 0.00349814584479, -1.84353065491
          0.4, 0.191156923771, 0.00346569390967, -2.03569984436
        0.425, 0.182806685567, 0.00348141929135, -2.22422266006
         0.45, 0.17263892293, 0.00353224761784, -2.40715193748
        0.475, 0.160595804453, 0.00359304249287, -2.5828564167
          0.5, 0.146692872047, 0.00363482511602, -2.75000524521
        0.525, 0.131057605147, 0.00363254151307, -2.90751719475
         0.55, 0.113931842148, 0.00357015710324, -3.05449867249
        0.575, 0.095644980669, 0.00344260479324, -3.19019055367
          0.6, 0.0765703096986, 0.00325462361798, -3.31393480301
        0.625, 0.0570790097117, 0.00301748025231, -3.42516708374
         0.65, 0.0375037379563, 0.00274489540607, -3.52342772484
        0.675, 0.0181184075773, 0.00244947709143, -3.60838937759
          0.7, -0.000864333007485, 0.00214049289934, -3.67988109589
        0.725, -0.019291613251, 0.00182234193198, -3.73791098595
         0.75, -0.0370499826968, 0.00149446201976, -3.78267526627
        0.775, -0.0540352091193, 0.00115360447671, -3.81454968452
          0.8, -0.0701316297054, 0.000796508567873, -3.83405828476
        0.825, -0.0852097868919, 0.000422665674705, -3.84183502197
         0.85, -0.0991378575563, 3.41715494869e-05, -3.83858728409
        0.875, -0.111793212593, -0.000361651094863, -3.82506418228
          0.9, -0.123072519898, -0.000756860827096, -3.80204319954
        0.925, -0.132909044623, -0.00114354921971, -3.77032351494
         0.95, -0.141277402639, -0.0015144541394, -3.73071956635
        0.975, -0.148190647364, -0.00186462642159, -3.68406271935
            1, -0.153691112995, -0.00219188514166, -3.63120079041
        1.025, -0.157834261656, -0.00249535171315, -3.57298970222
         1.05, -0.160679012537, -0.00277484976687, -3.51028227806
        1.075, -0.162283197045, -0.00303018908016, -3.44391822815
          1.1, -0.162702471018, -0.00326079898514, -3.37471318245
        1.125, -0.161992490292, -0.00346557772718, -3.30345034599
         1.15, -0.160211309791, -0.00364329922013, -3.2308754921
        1.175, -0.157421097159, -0.00379267591052, -3.15769505501
          1.2, -0.153684303164, -0.00391394132748, -3.08457493782
        1.225, -0.149066433311, -0.00400643935427, -3.01212882996
         1.25, -0.143640801311, -0.00406842911616, -2.9409096241
        1.275, -0.137493774295, -0.00409935973585, -2.87141656876
          1.3, -0.130724340677, -0.00410016207024, -2.80410075188
        1.325, -0.123440571129, -0.00407285196707, -2.73936748505
         1.35, -0.115753315389, -0.00402037892491, -2.67757534981
        1.375, -0.107769221067, -0.00394623400643, -2.61903548241
          1.4, -0.09958473593, -0.00385364471003, -2.56400585175
        1.425, -0.0912852585316, -0.00374467484653, -2.51268577576
         1.45, -0.0829481333494, -0.00362074375153, -2.4652159214
        1.475, -0.0746447816491, -0.00348299532197, -2.42168188095
          1.5, -0.0664408430457, -0.00333212851547, -2.3821182251
        1.525, -0.058395460248, -0.00316927558742, -2.34651684761
         1.55, -0.0505602806807, -0.00299560464919, -2.31483221054
        1.575, -0.0429793931544, -0.00281268777326, -2.2869887352
          1.6, -0.0356882251799, -0.00262230471708, -2.26288414001
        1.625, -0.0287151709199, -0.00242545548826, -2.2423889637
         1.65, -0.0220890268683, -0.00222338130698, -2.22535467148
        1.675, -0.0158397071064, -0.00201865076087, -2.21162509918
          1.7, -0.00999361928552, -0.00181412731763, -2.20103979111
        1.725, -0.00457076728344, -0.00161282205954, -2.19343137741
         1.75, 0.000416199269239, -0.00141712196637, -2.18862295151
        1.775, 0.00495982216671, -0.00122884614393, -2.18642640114
          1.8, 0.00905817560852, -0.00104812264908, -2.18664169312
        1.825, 0.012714122422, -0.000876750855241, -2.18906497955
         1.85, 0.015931693837, -0.000716028909665, -2.19348406792
        1.875, 0.0187193509191, -0.000565163150895, -2.19967103004
          1.9, 0.021088231355, -0.000423333782237, -2.20738911629
        1.925, 0.0230509769171, -0.000289916642942, -2.21639990807
         1.95, 0.0246217548847, -0.000164459881489, -2.22646999359
        1.975, 0.0258173253387, -4.70449158456e-05, -2.23737716675
            2, 0.0266581308097, 6.19426573394e-05, -2.2489156723
        2.025, 0.0271706432104, 0.00016198400408, -2.26089692116
         2.05, 0.0273856911808, 0.000253059901297, -2.27314901352
        2.075, 0.0273329522461, 0.000335372082191, -2.2855181694
          2.1, 0.0270372722298, 0.000408324238379, -2.2978758812
        2.125, 0.0265240594745, 0.000470949249575, -2.31011533737
         2.15, 0.0258218646049, 0.000522768707015, -2.32214641571
        2.175, 0.0249606985599, 0.000563882989809, -2.33389091492
          2.2, 0.0239696558565, 0.000594938523136,  -2.345277071
        2.225, 0.022874256596, 0.000617037701886, -2.35623812675
         2.25, 0.0216941572726, 0.000631467089988, -2.36671113968
        2.275, 0.0204425249249, 0.000639301317278, -2.37663984299
          2.3, 0.0191291309893, 0.000640975602437, -2.38597536087
        2.325, 0.0177629273385, 0.000637022429146, -2.39467716217
         2.35, 0.016354681924, 0.000627905072179, -2.40271115303
        2.375, 0.01491771359, 0.000614059099462, -2.41005206108
          2.4, 0.013467787765, 0.000596139638219, -2.4166829586
        2.425, 0.0120223974809, 0.000574717472773, -2.42259526253
         2.45, 0.0105994427577, 0.000550646334887, -2.42778968811
        2.475, 0.00921311043203, 0.000524874776602, -2.43227791786
          2.5, 0.00787612143904, 0.000497174682096, -2.43608498573
        2.525, 0.00660195248201, 0.00046777605894, -2.43924546242
         2.55, 0.0054036648944, 0.000436946487753,  -2.441801548
        2.575, 0.00429335609078, 0.000405181752285, -2.44379854202
          2.6, 0.00327877420932, 0.000372982613044, -2.44528508186
        2.625, 0.00236347340979, 0.000340399274137, -2.4463083744
         2.65, 0.00154368986841, 0.00030823959969, -2.4469127655
        2.675, 0.000815481180325, 0.000277518178336, -2.44713878632
          2.7, 0.000175009015948, 0.000247831543675, -2.4470281601
        2.725, -0.000387904176023, 0.000219233246753, -2.44661998749
         2.75, -0.000885198649485, 0.000191702303709, -2.44594979286
        2.775, -0.00132766016759, 0.000164940196555, -2.44505143166
          2.8, -0.00172239262611, 0.00013872719137, -2.44395518303
        2.825, -0.0020717936568, 0.000113792579214, -2.44268774986
         2.85, -0.00237344182096, 8.99790538824e-05, -2.4412753582
        2.875, -0.00262555107474, 6.77638163324e-05, -2.43974232674
          2.9, -0.00282715237699, 4.75898086734e-05, -2.43811321259
        2.925, -0.00297742336988, 2.96085145237e-05, -2.43641471863
         2.95, -0.00307532283477, 1.34310985231e-05, -2.43467664719
        2.975, -0.0031188945286, -6.34338789496e-07, -2.43292808533
            3, -0.00310777872801, -1.28432557176e-05, -2.43119812012
        3.025, -0.00303131341934, -5.32941294296e-06, -2.37752485275
         3.05, -0.00245013739914, 0.000166096098837, -2.08915567398
        3.075, 0.00019164000696, 0.000650997797493, -1.47830879688
          3.1, 0.00751390075311, 0.00156130827963, -0.46664005518
        3.125, 0.0232698507607, 0.00300844409503, 1.02089607716
         3.15, 0.0520674027503, 0.00499824620783, 3.05529904366
        3.175, 0.0992483794689, 0.00766129326075, 5.70323467255
          3.2, 0.170984059572, 0.0111292051151, 9.02643966675
        3.225, 0.274019449949, 0.0155416335911,    13.0810709
         3.25, 0.415532886982, 0.0210580099374, 17.9171180725
        3.275, 0.603048145771, 0.0278481952846, 23.5760211945
          3.3, 0.844328343868, 0.0360486507416, 30.0367698669
        3.325,  1.1468539238, 0.0456786714494, 37.2058830261
         3.35, 1.51661527157, 0.0564550347626, 44.9791374207
        3.375, 1.95645201206, 0.0681601986289, 53.2479705811
          3.4, 2.46772122383, 0.0809783041477, 61.9016494751
        3.425, 3.04993724823, 0.0947034582496, 70.8277740479
         3.45, 3.69904327393, 0.108556754887, 79.9145812988
        3.475, 4.40696430206, 0.122956886888, 89.0559768677
          3.5, 5.16692447662, 0.137864843011, 98.1506958008
        3.525, 5.96933412552, 0.153354510665, 107.102912903
         3.55, 6.80639314651, 0.169722139835, 115.805236816
        3.575, 7.67004776001, 0.18675249815, 124.110443115
          3.6,  8.5511713028, 0.204275265336, 131.871154785
        3.625, 9.44145298004, 0.222271338105, 138.948013306
         3.65, 10.3290939331, 0.239872977138, 145.211547852
        3.675, 11.2003488541, 0.257283806801, 150.546981812
