Time,AVz,Ay,Steer_SW
            0,             0, 4.1094358681e-20,             0
        0.025, 5.13122540724e-06, 5.04450213157e-07, 0.00111868197564
         0.05, 2.16517910303e-05, 2.16578678192e-06, 0.0044190636836
        0.075, 7.62518538977e-05, 1.04143600765e-05, 0.0098176477477
          0.1, 0.00019664010324, 2.6400302886e-05, 0.0172309372574
        0.125, 0.000417569215642, 4.77043977298e-05, 0.0265754368156
         0.15, 0.000768769357819, 7.24827332306e-05, 0.0377676486969
        0.175, 0.00127782288473, 9.90303597064e-05, 0.0507240779698
          0.2, 0.00196363637224, 0.000125602338812, 0.0653612241149
        0.225, 0.00283927470446, 0.000152826789417, 0.0815955922008
         0.25, 0.0039105056785, 0.000182027302799, 0.0993436872959
        0.275, 0.00517823453993, 0.00021497310081, 0.118522010744
          0.3, 0.00664667738602, 0.00025252456544, 0.139047071338
        0.325, 0.00831481721252, 0.00029535475187, 0.16083535552
         0.35, 0.0101858256385, 0.000344014028087, 0.183803379536
        0.375, 0.012261684984, 0.000398931384552, 0.207867652178
          0.4, 0.0145497508347, 0.000460040435428, 0.232944667339
        0.425, 0.0170394349843, 0.000528101809323, 0.258950918913
         0.45, 0.0197305437177, 0.000607123656664, 0.285802960396
        0.475, 0.0226346887648, 0.000695274444297, 0.313417226076
          0.5, 0.0257808342576, 0.00079072790686, 0.341710239649
        0.525, 0.02921112068, 0.000896344834473, 0.370598524809
         0.55, 0.0329871512949, 0.00102322141174, 0.399998575449
        0.575, 0.0370531640947, 0.00121026323177, 0.429826915264
          0.6, 0.0410163700581, 0.00135261204559, 0.460000008345
        0.625, 0.0458405129611, 0.00138343952131, 0.490450233221
         0.65, 0.0510438345373, 0.00143316166941, 0.521173536777
        0.675, 0.0561282001436, 0.00150317500811, 0.552181661129
          0.7, 0.0609929561615, 0.00160201941617, 0.583486378193
        0.725, 0.0657052025199, 0.0017233947292, 0.615099489689
         0.75, 0.0703512355685, 0.0018545758212, 0.647032678127
        0.775, 0.0749894753098, 0.0019863396883, 0.679297864437
          0.8, 0.0796492174268, 0.00211479514837, 0.711906731129
        0.825, 0.0843431800604, 0.00223806779832, 0.744871079922
         0.85, 0.0890718698502, 0.00235873810016, 0.778202652931
        0.875, 0.0938341021538, 0.0024802077096, 0.811913251877
          0.9, 0.098621994257, 0.00260693696328, 0.846014678478
        0.925, 0.103432610631, 0.00274193310179, 0.88051867485
         0.95, 0.108269974589, 0.00288543803617, 0.915436983109
        0.975, 0.113150350749, 0.00303638889454, 0.950781464577
            1, 0.118092648685, 0.00319303316064, 0.986563801765
        1.025, 0.123110733926, 0.00335418689065, 1.02279579639
         1.05, 0.128220587969, 0.00351716089062, 1.05948925018
        1.075, 0.133431494236, 0.0036799183581, 1.09665596485
          1.1, 0.138746082783, 0.00384235894307, 1.13430774212
        1.125, 0.14416244626, 0.00400573108345, 1.17245614529
         1.15, 0.149675935507, 0.00417220266536, 1.21111321449
        1.175, 0.155282333493, 0.00434358650818, 1.25029051304
          1.2, 0.160980030894, 0.00452058017254, 1.28999996185
        1.225, 0.166771665215, 0.00470256060362, 1.33024942875
         1.25, 0.172661095858, 0.00488846981898, 1.37103140354
        1.275, 0.178652182221, 0.00507669942454, 1.41233444214
          1.3, 0.184746518731, 0.00526619935408, 1.45414710045
        1.325, 0.190941870213, 0.0054567377083, 1.49645805359
         1.35, 0.197240933776, 0.00565243791789, 1.53925585747
        1.375, 0.203674316406, 0.00585655961186,  1.5825291872
          1.4, 0.21026006341, 0.00606649182737,  1.6262665987
        1.425, 0.216994434595, 0.00628123618662, 1.67045664787
         1.45, 0.223864749074, 0.00650081969798, 1.71508800983
        1.475, 0.230856791139, 0.00672513572499, 1.76014924049
          1.5, 0.237957566977, 0.00695357471704, 1.80562901497
        1.525, 0.245155587792, 0.00718516623601, 1.85151576996
         1.55, 0.25244012475, 0.00741891888902, 1.89779829979
        1.575, 0.259800136089, 0.00765412254259, 1.94446504116
          1.6, 0.267223954201, 0.00789049081504, 1.99150466919
        1.625, 0.274699449539, 0.00812810473144, 2.03890585899
         1.65, 0.282214790583, 0.00836722087115, 2.08665704727
        1.675, 0.289759755135, 0.00860803481191, 2.13474702835
          1.7, 0.297326594591, 0.00885050557554, 2.18316435814
        1.725, 0.304910838604, 0.00909429043531, 2.23189735413
         1.75, 0.312511056662, 0.00933882128447, 2.28093504906
        1.775, 0.320128411055, 0.00958345364779, 2.33026576042
          1.8, 0.327765345573, 0.00982764922082, 2.37987828255
        1.825, 0.33542484045, 0.0100710950792,  2.4297683239
         1.85, 0.34310951829, 0.0103137698025, 2.47994112968
        1.875, 0.350821584463, 0.010555873625,  2.5304017067
          1.9, 0.358563154936, 0.0107977120206, 2.58115577698
        1.925, 0.366336643696, 0.0110395681113, 2.63220858574
         1.95, 0.37414509058, 0.0112816188484, 2.68356585503
        1.975, 0.381992697716, 0.0115239024162, 2.73523259163
            2, 0.389884471893, 0.0117663489655, 2.78721475601
        2.025, 0.397825956345, 0.0120088495314, 2.83951759338
         2.05, 0.405822724104, 0.0122509971261, 2.89214658737
        2.075, 0.413883179426, 0.0124922525138, 2.94510698318
          2.1, 0.422014534473, 0.0127338394523, 2.99840450287
        2.125, 0.430218458176, 0.0129763223231, 3.05204439163
         2.15, 0.438494473696, 0.0132199795917,  3.1060321331
        2.175, 0.446841657162, 0.0134650431573, 3.16037344933
          2.2, 0.45525932312, 0.0137117002159, 3.21507334709
        2.225, 0.463747501373, 0.0139600615948, 3.27013778687
         2.25, 0.472306728363, 0.0142101747915, 3.32557177544
