Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_Design,X_L1,X_L2,X_R1,X_R2,X_Target,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_Design,Y_L1,Y_L2,Y_R1,Y_R2,Y_Target,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0.4, -0.2287457091514, 0, 6, 1.997930968898, -0.3297171094628, -0.3299176730394, 0.6492790210646, 1.528555502501, -1.342557772503, -1.601762440887, 5.948934906348, 5.945813228784, 5.921374073263, 5.920243184, -8.11406942873, 99.85663605712, 100, 99.89216935291, 96.61798767897, 112.6737876271, 96.69698458867, 97.01471291381, 95.02807321068, 96.24264213538, 94.25382295365, 96.69698458867, -31.42034858507, -31.65558251485, -31.70014193621, -31.97728157833, -31.21037941022, -54.8486478648, -64.65389824758, -54.70901502118, -54.22175914792, -53.00525612302, -55.48449318217, -54.27243894907, -54.70901502118, 45.24554700217, 44.83016531321, 45.15799469724, 45.2193404867, 45.15976224054, 45.22137733436
0.425, -0.2223346317299, 0, 6, 1.99446352744, -0.3326203606024, -0.3328219881991, 0.6516566561675, 1.521618095866, -1.346409400748, -1.610603069044, 6.320040170497, 6.316767656266, 6.290983153306, 6.289778352343, -7.566624087617, 99.85077175443, 100, 99.88612015107, 97.21118703491, 113.2490935893, 97.3002814728, 97.60902561585, 95.6246181789, 96.83470497064, 94.84806617211, 97.3002814728, -31.52451846564, -31.72780973342, -31.80493288476, -32.04961565856, -31.31370649137, -55.20780808982, -65.04225598652, -55.05031708865, -54.58160994897, -53.36150597731, -55.84295634591, -54.6272780849, -55.05031708865, 45.22703084022, 44.81171893163, 45.1396094793, 45.20079375707, 45.14147824475, 45.20288736897
0.45, -0.2139456322406, 0, 6, 1.990309990039, -0.332446021152, -0.3326467041653, 0.6566014868615, 1.51505973751, -1.346607376688, -1.619293204773, 6.69106319234, 6.687654355343, 6.660636549077, 6.659366845253, -7.037386878193, 99.84551445367, 100, 99.88066196955, 97.80376027966, 113.8252737212, 97.90352737605, 98.20260033653, 96.2202366325, 97.42622927495, 95.44158698434, 97.90352737605, -31.61958735884, -31.79292146426, -31.90061785975, -32.1146222357, -31.40733435408, -55.56793658518, -65.42901637799, -55.39157256653, -54.94237853135, -53.71899352467, -56.2024573213, -54.98347473091, -55.39157256653, 45.20856227992, 44.79333382274, 45.12126813599, 45.18230983368, 45.12322038881, 45.18443982595
0.475, -0.2038465012713, 0, 6, 1.986318111049, -0.3292992062592, -0.3294971926549, 0.6635585956809, 1.508757986291, -1.343057215732, -1.627373793815, 7.06200598629, 7.058474198502, 7.030335784737, 7.02900951632, -6.52654217482, 99.84084982756, 100, 99.87581066519, 98.39572928198, 114.402352158, 98.50671735139, 98.79546436879, 96.8149567828, 98.01723923829, 96.03441085102, 98.50671735139, -31.70564941953, -31.85092079475, -31.98704397131, -32.17223803149, -31.49157384316, -55.92898993918, -65.81417178909, -55.73278664951, -55.30402286385, -54.0776733267, -56.5629547196, -55.34098335099, -55.73278664951, 45.19015036593, 44.77500200159, 45.10294914469, 45.16390421089, 45.10496675615, 45.16604837114
0.5, -0.1922262990195, 0, 6, 1.983334968239, -0.3233149645526, -0.3235087691966, 0.6725545277723, 1.502307919757, -1.335950818952, -1.634278825441, 7.432872497088, 7.429228032421, 7.400080643863, 7.398705382946, -6.03359536549, 99.83673567801, 100, 99.87155805616, 98.98711907629, 114.9803159139, 99.10984676747, 99.38765158504, 97.4088172782, 98.60776003206, 96.62656887631, 99.10984676747, -31.78302612851, -31.90332888561, -32.06429828193, -32.22325564645, -31.56693371916, -56.29091973513, -66.19777170097, -56.07396470619, -55.66649850849, -54.4374884603, -56.92440022777, -55.69974391702, -56.07396470619, 45.17179543579, 44.75670679212, 45.08463148767, 45.14557830082, 45.08669722538, 45.14771551317
0.525, -0.1797474621483, 0, 6, 1.981908297802, -0.3147358110075, -0.314924201488, 0.6828559565757, 1.495705803867, -1.325585849592, -1.639242571999, 7.80366764024, 7.799919849489, 7.769869586518, 7.76845145493, -5.557216655198, 99.83311723645, 100, 99.8678778999, 99.57795798229, 115.5591061495, 99.71291291274, 99.97919943559, 98.00186713088, 99.19781711163, 97.21809687329, 99.71291291274, -31.85230298722, -31.94934693311, -32.13300525168, -32.26759556421, -31.63423249088, -56.65367609491, -66.57993561105, -56.41511318634, -56.02975952436, -54.79837180114, -57.28674123142, -56.05968254251, -56.41511318634, 45.15348741798, 44.73842712967, 45.06629510037, 45.12731243258, 45.068393758, 45.12942606692
0.55, -0.1668310752353, 0, 6, 1.982182977798, -0.3040199195642, -0.3042019462129, 0.6941096993909, 1.488981293719, -1.312518650168, -1.641944073851, 8.174397881278, 8.170555147722, 8.1396999137, 8.138243968878, -5.095718846395, 99.82994629264, 100, 99.86473684474, 100.1682775361, 116.1386432405, 100.3159127263, 100.5701490555, 98.59416118195, 99.78743647575, 97.80903400883, 100.3159127263, -31.91418108647, -31.98928516364, -32.19362334329, -32.30579027932, -31.69433159829, -57.01720915991, -66.96081232136, -56.75623621646, -56.3937591952, -55.16025118332, -57.64992189502, -56.42071842316, -56.75623621646, 45.13520636286, 44.72014017604, 45.04791969125, 45.10907406985, 45.050040769, 45.11115549308
0.575, -0.1539223005564, 0, 6, 1.984017574694, -0.2918010140305, -0.2919760484084, 0.7058372523973, 1.482267702798, -1.297598336725, -1.642580890672, 8.54507002939, 8.541140067945, 8.509568778879, 8.508079212969, -4.647390631775, 99.8271801617, 100, 99.86209034654, 100.7581115964, 116.7188445429, 100.918853188, 101.160543341, 99.18575671402, 100.3766457913, 98.39942155827, 100.918853188, -31.96937510108, -32.02374707542, -32.24698962638, -32.33815507847, -31.74802329322, -57.38146899491, -67.34055169572, -57.09732226002, -56.75844955643, -55.52305293702, -58.01388453707, -56.78276858949, -57.09732226002, 45.11692595199, 44.70182248396, 45.02948728527, 45.09082872228, 45.03162627577, 45.09287812721
0.6, -0.1413452744951, 0, 6, 1.987072587779, -0.2787772079399, -0.278944945607, 0.717856720046, 1.475705582535, -1.281944468424, -1.641721504791, 8.915690556488, 8.911680824106, 8.879473383949, 8.877953829177, -4.210659340387, 99.82478781118, 100, 99.85987981345, 101.3474953743, 117.2996332699, 101.5217460741, 101.7504253437, 99.77671080308, 100.965474193, 98.98930140523, 101.5217460741, -32.01855982016, -32.05291089306, -32.29384331169, -32.36530155438, -31.79586850474, -57.74640600356, -67.71929098309, -57.43837672803, -57.12378249973, -55.88670445361, -58.37857095966, -57.14575126975, -57.43837672803, 45.09861936295, 44.68345408247, 45.01099685991, 45.07254646143, 45.01315257592, 45.07457146532
0.625, -0.1292296050411, 0, 6, 1.990769952298, -0.2655739751767, -0.2657343639746, 0.7302825170278, 1.469410897681, -1.26661500912, -1.640036977892, 9.286265622361, 9.282183322049, 9.249411350639, 9.247864902741, -3.784165567819, 99.82275116932, 100, 99.85805164903, 101.9364654994, 117.8809428083, 102.1245967743, 102.3398377676, 100.3670786063, 101.5539520062, 99.5787149197, 102.1245967743, -32.06234318172, -32.07721929435, -32.33499862308, -32.38763719834, -31.83852878717, -58.11197160323, -68.09714868505, -57.77940718243, -57.48971051624, -56.25113580566, -58.74392401508, -57.50958803414, -57.77940718243, 45.08026577348, 44.66502578859, 44.99246435325, 45.05420414701, 44.99463724079, 45.05621658268
