Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.136, -0.00183334108442, 0.193913176656, 0.134492903948,  -132.6197052, -198.472595215, 5101.43896484, -2.57788801193, 7.48168468475
        0.137, -0.00185702752788, 0.193865343928, 0.134460985661, -133.305648804, -198.715744019, 5101.65478516, -2.57523393631, 7.49268102646
        0.138, -0.00188127940055, 0.19387742877, 0.134433045983, -134.068252563, -198.954559326, 5101.87353516, -2.57273292542, 7.50349473953
        0.139, -0.00190577318426, 0.193889662623, 0.134405851364, -134.90637207, -199.189178467, 5102.09521484, -2.57028675079, 7.51415348053
         0.14, -0.00193019071594, 0.19390206039, 0.134379416704, -135.817581177, -199.419692993,  5102.3203125, -2.56789493561, 7.52466058731
        0.141, -0.00195422931574, 0.193914622068, 0.134353727102, -136.798217773, -199.646194458, 5102.54882812, -2.56555700302, 7.53501796722
        0.142, -0.00197760551237, 0.19392734766, 0.13432879746, -137.843505859, -199.868743896, 5102.78027344, -2.56327271461, 7.54522800446
        0.143, -0.00200006063096, 0.193940222263, 0.134304627776, -138.947692871, -200.087417603, 5103.01513672, -2.56104135513, 7.55529165268
        0.144, -0.00202136230655, 0.193953260779, 0.134281218052, -140.104171753, -200.302307129, 5103.25390625, -2.55886268616, 7.56520938873
        0.145, -0.00204130937345, 0.193966463208, 0.134258568287, -141.305725098, -200.513442993, 5103.49560547, -2.55673599243, 7.57498216629
        0.146, -0.00205973279662, 0.19397982955, 0.134236678481, -142.544540405, -200.720916748, 5103.74072266, -2.55466103554, 7.58460950851
        0.147, -0.00207649776712, 0.193993359804, 0.134215563536, -143.812484741, -200.924789429, 5103.98925781, -2.55263733864, 7.59409236908
        0.148, -0.00209150789306, 0.193948283792, 0.134192109108, -145.101211548, -201.124832153, 5104.24169922,  -2.550573349, 7.60344171524
        0.149, -0.0021046907641, 0.193962156773, 0.134172573686, -146.402404785, -201.320144653, 5104.49755859, -2.54866409302, 7.61256980896
         0.15, -0.0021160193719, 0.193976178765, 0.134153828025, -147.707733154, -201.51234436, 5104.75634766, -2.54680323601, 7.62156677246
        0.151, -0.00212549697608, 0.193990364671, 0.134135872126, -149.00920105, -201.701187134, 5105.01904297, -2.54499197006, 7.63041877747
        0.152, -0.00213315919973, 0.194004699588, 0.134118676186, -150.299133301, -201.88671875, 5105.28466797, -2.54323029518, 7.63912582397
        0.153, -0.0021390710026, 0.194019213319, 0.134102270007, -151.570388794, -202.068984985, 5105.55371094, -2.54151773453, 7.64768791199
        0.154, -0.00214332481846, 0.19403386116, 0.134086638689, -152.816436768, -202.248046875, 5105.82617188, -2.53985404968, 7.65610551834
        0.155, -0.00214603799395, 0.194048687816, 0.134071797132, -154.031402588, -202.423950195, 5106.10205078, -2.53823876381, 7.66437864304
        0.156, -0.00214734836482, 0.194063648582, 0.134057745337, -155.210189819, -202.596755981, 5106.38085938, -2.53667163849, 7.67250871658
        0.157, -0.00214741239324, 0.194078758359, 0.134044483304, -156.348495483, -202.766525269, 5106.66308594, -2.53515219688, 7.68049621582
        0.158, -0.00214640027843, 0.194094032049, 0.134032011032, -157.442901611, -202.933303833, 5106.94824219, -2.53368020058, 7.68834209442
        0.159, -0.00214449316263, 0.194109424949, 0.134020328522, -158.490844727, -203.097137451, 5107.23632812, -2.53225541115, 7.69604825974
         0.16, -0.00214187870733, 0.19412496686, 0.134009450674, -159.490646362, -203.258087158, 5107.52734375, -2.53087735176, 7.70361709595
        0.161, -0.0021387480665, 0.19414062798, 0.133999377489, -160.441467285, -203.416229248, 5107.82080078, -2.52954530716, 7.71105003357
        0.162, -0.00213529146276, 0.194156423211, 0.133990094066, -161.343338013, -203.571609497,  5108.1171875, -2.52825927734, 7.71834945679
        0.163, 0.0232762824744, 0.194112867117, 0.133978486061, -162.19708252, -203.724014282, 5108.41699219, -2.52692627907, 7.72552967072
        0.164, 0.0713838338852, 0.194598406553, -0.00888027157634, 0.712354421616, -194.038162231, 5493.34814453, 1.83605468273, 8.85907173157
        0.165, 0.0687001794577, 0.192584514618, -0.133754044771, 401.257324219, -183.993850708, 6122.62109375, 6.46641016006, 10.3033685684
        0.166, 0.0633349344134, 0.221728265285, 0.134255796671,  737.93572998, -218.840240479, 6736.46923828, -3.19406485558, 9.95675754547
        0.167, 0.0549856424332, 0.239316225052, 0.135253474116, 1051.57067871, -225.675033569, 7354.37402344, -3.45679807663, 10.7272777557
        0.168, 0.0439381413162, 0.259345650673, 0.13679908216, 1317.01013184, -232.085281372, 7888.11083984, -3.70568752289, 11.3448734283
        0.169, 0.0307534318417, 0.281635820866, 0.139069482684, 1519.57141113, -238.311309814,  8335.3359375, -3.95163416862, 11.8768053055
         0.17, 0.0168846286833, 0.305194377899, 0.142203390598,  1617.0859375,  -242.6612854, 8619.50488281, -4.19113492966, 11.9657669067
        0.171, 0.000719718460459, 0.329758435488, 0.146325722337, 1637.91381836, -247.671951294,          8897, -4.47759723663, 12.1482467651
        0.172, -0.0152013301849, 0.353810012341, 0.151404336095, 1578.87756348, -252.635269165,    9030.59375, -4.75016880035, 12.4890108109
        0.173, -0.0334449112415, 0.376109808683, 0.157471373677, 1438.67138672, -257.990692139, 9081.35449219, -5.03111171722, 13.0085020065
        0.174, -0.0476581901312, 0.396922439337, 0.16451844573,  1197.9119873, -263.533813477, 9025.37011719, -5.30245637894, 13.6961593628
        0.175, -0.0523872226477, 0.329269051552, -0.417335510254,  932.05279541, -168.848403931, 8937.52246094, 24.1781711578,  17.654718399
        0.176, -0.0559074655175, 0.349912106991, -0.410309433937, 651.183105469, -172.620193481, 8840.72949219, 23.5985183716, 18.1622333527
        0.177, -0.0581980533898, 0.377369999886, -0.340821385384, 362.660705566, -187.325775146, 8735.65234375, 19.9259185791, 18.2083683014
        0.178, -0.143141001463, 0.436052620411, 0.20192296803, -241.751159668, -287.134155273, 8912.35546875, -6.89611244202, 15.8667087555
        0.179, -0.140241801739, 0.445820629597, 0.212502002716, -945.581420898, -299.310180664, 9307.77246094, -7.61812210083, 16.1167488098
         0.18, -0.135040432215, 0.456254392862, 0.223923742771, -1605.10131836, -310.972381592,     9657.0625, -8.3908405304, 15.7551584244
        0.181, -0.125863730907, 0.468813925982, 0.236467882991, -2189.38574219, -321.576263428, 9902.62988281, -9.18415355682,  14.989780426
        0.182, -0.114114299417, 0.482024490833, 0.250187158585, -2684.41699219, -331.794281006, 10113.3388672, -10.0475826263, 14.1078586578
        0.183, -0.100264847279, 0.495632916689, 0.265094339848, -3085.03515625, -341.709075928, 10288.4658203, -10.9777202606, 13.2876291275
        0.184, -0.0844254866242, 0.509857714176, 0.281068623066, -3390.09448242, -351.381622314, 10426.9638672, -11.9610834122, 12.6371412277
        0.185, -0.066103219986, 0.523531794548, 0.298484474421, -3617.87670898, -361.921020508, 10615.9541016, -13.1054773331, 12.1984939575
        0.186, -0.0479808188975, 0.537695229053, 0.317210912704, -3751.20776367, -371.570983887, 10668.9882812, -14.1993770599, 11.9874334335
        0.187, -0.0269623473287, 0.55193066597, 0.337169080973, -3810.39794922, -382.000762939, 10747.6025391, -15.4058942795,  12.028585434
        0.188, -0.00721144862473, 0.565636754036, 0.358591765165, -3784.45629883, -391.848297119, 10707.8720703, -16.5482501984, 12.3192453384
        0.189, 0.0158342123032, 0.580128669739, 0.381294041872, -3680.31030273, -402.209655762, 10663.3789062, -17.746301651, 12.8917808533
         0.19, 0.0414880849421, 0.596606016159, 0.405357003212, -3478.83422852, -412.235900879, 10537.4726562, -18.8782691956, 13.7841415405
        0.191, 0.0621489994228, 0.609699785709, 0.430745959282, -3152.89672852, -421.548492432,      10307.25, -19.8692569733, 15.0625391006
        0.192, 0.0717538297176, 0.612573504448, 0.457367837429, -2772.35644531, -430.290557861,  10044.765625, -20.8122901917, 16.4530105591
        0.193, 0.0798032581806, 0.612497389317, 0.485106140375, -2346.04760742, -438.508575439, 9772.93652344, -21.7306308746,  17.862783432
        0.194, 0.0861289948225, 0.609633147717, 0.513866186142, -1882.30053711, -446.074859619, 9492.82421875, -22.6130371094, 19.1635494232
        0.195, 0.0906070321798, 0.60419690609, 0.543556571007, -1392.92211914, -452.912200928, 9205.51953125, -23.4485588074, 20.2029457092
        0.196, 0.0931624621153, 0.596424460411, 0.574080169201, -892.462890625, -458.995269775, 8912.13476562, -24.2262477875, 20.8422756195
        0.197, 0.0937793254852, 0.586559534073, 0.605331361294, -396.765319824, -464.346710205, 8613.80273438, -24.9353294373, 21.0019111633
        0.198, 0.0925036221743, 0.574841856956, 0.637193858624, 70.9698867798, -467.411895752, 8311.67285156, -25.5854797363, 20.4921760559
