Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.073, -0.00112708483357, 0.195227205753, 0.139096185565, -84.3019638062, -147.231781006, 5094.15820312, -3.07529425621, 5.11081504822
        0.074, -0.00113726360723, 0.19522768259, 0.139017522335, -85.0261688232, -148.185623169, 5094.22216797, -3.0658326149, 5.15076398849
        0.075, -0.00114754564129, 0.195164650679, 0.138936132193, -85.7663497925, -149.127914429, 5094.28710938, -3.05637717247, 5.19023990631
        0.076, -0.00115791300777, 0.195165410638, 0.138858810067, -86.5215301514, -150.057937622, 5094.35253906, -3.04713702202, 5.22916221619
        0.077, -0.00116836547386, 0.195104345679, 0.138778880239, -87.2906036377, -150.976593018, 5094.41943359, -3.03790426254, 5.26762008667
        0.078, -0.00117889058311, 0.195105403662, 0.138702914119, -88.0727157593, -151.883163452, 5094.48730469, -3.02888298035, 5.30553436279
        0.079, -0.00118949217722, 0.195046275854, 0.138624414802, -88.8669204712, -152.778594971, 5094.55615234, -3.01987051964, 5.34299373627
         0.08, -0.00120016071014, 0.19504763186, 0.13854983449, -89.6725616455, -153.66217041, 5094.62597656, -3.01106476784, 5.37992143631
        0.081, -0.00121090142056,  0.1949903965, 0.138472780585, -90.4888839722, -154.534820557, 5094.69775391, -3.0022687912, 5.41640520096
        0.082, -0.00122170569375, 0.194992050529, 0.138399556279, -91.3153915405, -155.395904541, 5094.77001953, -2.99367523193, 5.45237064362
        0.083, -0.00123257469386, 0.194993853569, 0.138326987624, -92.1514511108, -156.24659729,    5094.84375, -2.9851808548, 5.48789024353
        0.084, -0.00124350993428, 0.194924637675, 0.138251304626, -92.9967422485, -157.085678101, 5094.91992188, -2.97668147087, 5.52294445038
        0.085, -0.00125449872576, 0.194926738739, 0.138180121779, -93.8507003784, -157.914489746, 5094.99658203, -2.96839523315, 5.55753040314
        0.086, -0.00126554479357, 0.194860264659, 0.138105928898, -94.7129364014, -158.732788086, 5095.07568359, -2.96009945869, 5.59169530869
        0.087, -0.00127663440071, 0.194862663746, 0.138036087155, -95.5830993652, -159.540054321, 5095.15576172, -2.95201778412, 5.62536239624
        0.088, -0.00128776452038, 0.194865211844, 0.137966901064, -96.460609436, -160.337615967, 5095.23779297, -2.94403028488, 5.65861606598
        0.089, -0.00129893247504, 0.194801598787, 0.137894868851, -97.3451461792, -161.124328613, 5095.32177734, -2.93604016304, 5.69143486023
         0.09, -0.00131012208294, 0.194804444909, 0.137827053666, -98.2360992432, -161.901397705, 5095.40771484, -2.92825055122, 5.72381591797
        0.091, -0.00132133346051, 0.194743439555, 0.137756496668, -99.1329956055, -162.668563843, 5095.49609375, -2.92045426369, 5.75580310822
        0.092, -0.00133255147375, 0.194746568799, 0.137690037489, -100.035369873, -163.425338745,  5095.5859375, -2.91285991669, 5.78732299805
        0.093, -0.0013437718153, 0.194749847054, 0.137624233961, -100.942527771, -164.172958374, 5095.67822266, -2.90535593033, 5.81845378876
        0.094, -0.00135499145836, 0.194691509008, 0.13755582273, -101.854049683, -164.910293579, 5095.77294922, -2.89785242081, 5.84917497635
        0.095, -0.00136619596742, 0.194695100188, 0.137491390109, -102.769248962, -165.638473511, 5095.86962891, -2.89053893089, 5.87948322296
        0.096, -0.00137738708872, 0.19463917613, 0.137424454093, -103.687583923, -166.357223511, 5095.96923828, -2.88322210312, 5.90941810608
        0.097, -0.00138855248224, 0.194643065333, 0.137361392379, -104.608589172, -167.066101074, 5096.07080078, -2.8760972023, 5.93891143799
        0.098, -0.00139969110023, 0.194647103548, 0.137298986316, -105.531600952, -167.766235352, 5096.17529297, -2.86905956268, 5.96803569794
        0.099, -0.00141080329195, 0.194593682885, 0.137234210968, -106.456245422, -168.456588745, 5096.28271484, -2.86202573776, 5.99677276611
          0.1, -0.00142187834717, 0.194598048925, 0.137173205614, -107.38193512, -169.138198853, 5096.39208984, -2.85517239571, 6.02511739731
        0.101, -0.00143291812856, 0.194602563977, 0.137112870812, -108.308250427, -169.811096191, 5096.50439453, -2.84840583801, 6.05309677124
        0.102, -0.00144392508082, 0.194540664554, 0.137049689889, -109.234931946, -170.474349976, 5096.62060547, -2.84162807465, 6.08069849014
        0.103, -0.001454888843, 0.194545522332, 0.136990755796, -110.161468506, -171.129150391, 5096.73828125, -2.83504295349, 6.10791826248
        0.104, -0.00146581314038, 0.194550514221, 0.136932507157, -111.087554932, -171.775527954,   5096.859375, -2.82854294777, 6.13478469849
        0.105, -0.00147670134902, 0.194491818547, 0.136871546507, -112.013031006, -172.412582397,   5096.984375, -2.82203364372, 6.16128826141
        0.106, -0.00148754438851, 0.194497168064, 0.136814713478, -112.937522888, -173.041503906, 5097.11132812, -2.81571054459, 6.18742418289
        0.107, -0.00149834644981, 0.194502681494, 0.136758551002, -113.860809326, -173.662307739, 5097.24169922, -2.80947041512, 6.21322059631
        0.108, -0.00150911114179, 0.194447115064, 0.136699840426, -114.782829285, -174.274169922, 5097.37548828, -2.80322265625, 6.23866891861
        0.109, -0.00151983008254, 0.19445297122, 0.136645108461, -115.703285217, -174.878204346, 5097.51220703, -2.79715466499, 6.26376438141
         0.11, -0.00153050734662, 0.19445900619, 0.13659106195, -116.622039795, -175.474441528, 5097.65185547, -2.79116725922, 6.28853464127
        0.111, -0.00154114665929, 0.194406479597, 0.136534586549, -117.539085388, -176.062103271, 5097.79541016, -2.78517365456, 6.31297159195
        0.112, -0.00155173998792, 0.194412842393, 0.136481970549, -118.454193115, -176.64225769, 5097.94189453, -2.77935361862, 6.33707046509
        0.113, -0.00156229129061, 0.194419398904, 0.136430040002, -119.367263794, -177.21496582, 5098.09130859, -2.77361154556, 6.36085891724
        0.114, -0.00157280464191, 0.194360643625, 0.136375337839, -120.278259277, -177.780029297, 5098.24511719, -2.76784563065, 6.38435649872
        0.115, -0.00158327224199, 0.194367513061, 0.136324837804, -121.187202454, -178.336959839, 5098.40136719, -2.76226878166, 6.40748691559
        0.116, -0.00159369735047, 0.194374591112, 0.136275053024, -122.093864441, -178.887008667, 5098.56103516, -2.75676631927, 6.43033123016
        0.117, -0.00160408078227, 0.194381833076, 0.136225968599, -122.99822998, -179.430038452, 5098.72460938, -2.75133919716, 6.45288324356
        0.118, -0.00161442672834, 0.194326832891, 0.136174276471, -123.900398254, -179.965209961, 5098.89160156, -2.74589538574,  6.4751329422
        0.119, -0.00162472715601, 0.194334417582, 0.136126667261, -124.800186157, -180.493621826, 5099.06152344, -2.74062538147, 6.49707603455
         0.12, -0.00163498672191, 0.194342181087, 0.136079728603, -125.697570801, -181.015350342, 5099.23535156, -2.73542833328, 6.51874017715
        0.121, -0.00164520950057, 0.194290608168, 0.136030361056, -126.592575073, -181.530212402, 5099.41259766, -2.73021149635, 6.54014396667
        0.122, -0.00165538920555, 0.194298699498, 0.135984897614, -127.485290527, -182.037780762, 5099.59277344, -2.72516798973, 6.56121826172
        0.123, -0.00166552921291, 0.194306969643, 0.135940149426, -128.375549316, -182.53918457, 5099.77685547, -2.72019386292, 6.58203649521
        0.124, -0.0016756306868, 0.194315433502, 0.135896131396, -129.263381958, -183.034317017, 5099.96386719,  -2.715290308, 6.60259342194
