Time,Station,VxTarget
         22.6, 70.6285552979, 46.4843902588
         22.8, 73.2343902588, 47.3320236206
           23, 75.8870697021, 48.1823234558
         23.2, 78.5869979858, 49.0262870789
         23.4, 81.3343048096, 49.8738441467
         23.6, 84.1287078857, 50.7239646912
         23.8, 86.9701385498, 51.5690116882
           24, 89.8587493896, 52.4157028198
         24.2, 92.7945556641, 53.2642936707
         24.4, 95.7774429321, 54.1129226685
         24.6, 98.8074111938, 54.9585113525
         24.8, 101.884513855, 55.8055534363
           25, 105.008728027, 56.6536483765
         25.2, 108.180015564, 57.5024795532
         25.4, 111.398399353, 58.3490104675
         25.6, 114.663879395, 59.1955413818
         25.8,   117.9764328, 60.0427131653
           26,  121.33605957, 60.8903427124
         26.2, 124.742767334, 61.7382774353
         26.4, 128.196548462, 62.5863952637
         26.6, 131.697402954, 63.4334983826
         26.8, 135.245330811, 64.2801895142
           27, 138.840316772, 65.1271133423
         27.2, 142.482376099, 65.9742050171
         27.4,  146.17149353, 66.8214416504
         27.6, 149.907669067,  67.668800354
         27.8, 153.690917969, 68.5162200928
           28, 157.521240234, 69.3636550903
         28.2, 161.398620605, 70.2110748291
         28.4, 165.323074341, 71.0584869385
         28.6, 169.294586182, 71.9058685303
         28.8, 173.313156128, 72.7532348633
           29, 177.378814697, 73.6005859375
         29.2, 181.491531372, 74.4479141235
         29.4, 185.651306152, 75.2952346802
         29.6, 189.858154297, 76.1425552368
         29.8, 194.112060547, 76.9898986816
           30, 198.413024902,  77.837272644
         30.2, 202.761062622, 78.6846923828
         30.4, 207.156173706, 79.5322036743
         30.6, 211.597824097, 79.9692840576
         30.8, 216.065734863,            80
