Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
         0.25, -0.0151140233502, -0.000479988491861, 0.0151140233502, 0.000479988491861, 2.79035226254e-15, 1.02423654116e-16,             0, -22.993806839, -14.6754722595, -22.993806839, -14.6754722595, 21.1572303772,  0.4898917377, -21.1572303772, -0.4898917377, 4570.45800781, 2656.31591797, 4570.45800781, 2656.31591797,             6,             0, -3.7767495126e-18, 0.099553450942,             0,             0,             0,             0,             0, -1.29386601446e-15,             0,             0,             0,             0,             0, -1.29386792028e-15, -0.0265224911273, -0.0012719189981, 0.0265224911273, 0.0012719189981, 4.07436800003, 4.07499170303, 4.07436800003, 4.07499170303, 8.32235240936, 0.0145581634715, -0.0145581634715, -3.38478410305e-15,             1, 119.669845581,           120, 119.669586182, 8.32288551331, 5.41291809082, 8.32288551331, 5.41291809082, 8.32235240936, 8.32288551331, 5.41291809082, 24.9431266785, 8.32288551331, 5.41291809082, 1.97518832112e-16,             0, 0.0146042685956, 0.000550386437681, -0.0146042685956, -0.000550386437681, 0.83740824461, 0.837493360043, -0.83740824461, -0.837493360043, -3.7767495126e-18, 0.837554991245,  0.8375005126,             0, -0.837554991245, -0.8375005126,             0,             0,             0,             0, -0.00591812003404, 0.316946029663, 0.32408836484,             0, 0.316946029663, 0.32408836484
        0.275, -0.0161012150347, -0.000218393863179, 0.0161012150347, 0.000218393863179, 2.34923423251e-15, 1.18611307388e-16,             0, 2.90640687943, -15.0939865112, 2.90640687943, -15.0939865112, 22.2051200867, 0.294262975454, -22.2051200867, -0.294262975454, 4570.99414062, 2660.49267578, 4570.99414062, 2660.49267578,             6,             0, -3.8885297375e-18, 0.0959836766124,             0,             0,             0,             0,             0, -1.72445828369e-15,             0,             0,             0,             0,             0, -1.72446071891e-15, -0.0284418631345, -0.000880706938915, 0.0284418631345, 0.000880706938915, 4.48124313354, 4.48182821274, 4.48124313354, 4.48182821274,  9.1533203125, 0.0155789023265, -0.0155789023265, -4.56625593931e-15,             1, 119.640220642,           120, 119.639938354, 9.15383243561,  6.2438659668, 9.15383243561,  6.2438659668,  9.1533203125, 9.15383243561,  6.2438659668, 25.7699775696, 9.15383243561,  6.2438659668, 2.61645592201e-16,             0, 0.0156265702099, 0.000429303909186, -0.0156265702099, -0.000429303909186, 0.837401211262,  0.8374953866, -0.837401211262, -0.8374953866, -3.8885297375e-18, 0.837558567524, 0.837500333786,             0, -0.837558567524, -0.837500333786, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00576762575656, 0.316944003105, 0.324072778225,             0, 0.316944003105, 0.324072778225
          0.3, -0.017123663798, 0.000277762068436, 0.017123663798, -0.000277762068436, 2.1380377903e-15, -8.45880056004e-17,             0,  53.544342041, -16.0518341064,  53.544342041, -16.0518341064, 24.7720222473, -0.0594574660063, -24.7720222473, 0.0594574660063, 4567.21630859, 2664.28442383, 4567.21630859, 2664.28442383,             6,             0, -1.09395949159e-18, 0.091993317008,             0,             0,             0,             0,             0, -1.91094275142e-15,             0,             0,             0,             0,             0, -1.91094529252e-15, -0.0302782673389, -0.000134643560159, 0.0302782673389, 0.000134643560159, 4.88816452026,  4.8885679245, 4.88816452026,  4.8885679245,  9.9841003418, 0.016602743417, -0.016602743417, -5.93091749689e-15,             1, 119.615272522,           120,  119.61492157,  9.9845905304, 7.07462406158,  9.9845905304, 7.07462406158,  9.9841003418,  9.9845905304, 7.07462406158,  26.597284317,  9.9845905304, 7.07462406158, 3.2634228635e-16,             0, 0.0166513789445, 6.47453489364e-05, -0.0166513789445, -6.47453489364e-05, 0.837394475937, 0.837499260902, -0.837394475937, -0.837499260902, -1.09395949159e-18, 0.837561964989, 0.837500035763,             0, -0.837561964989, -0.837500035763,             0,             0,             0,             0, -0.00560809625313, 0.316958099604, 0.324058651924,             0, 0.316958099604, 0.324058651924
        0.325, -0.0181970968843, 0.000958484655712, 0.0181970968843, -0.000958484655712, 1.2552517941e-15, -1.43145497592e-16,             0, 109.795196533, -17.2380867004, 109.795196533, -17.2380867004, 26.6333141327, -0.602162778378, -26.6333141327, 0.602162778378, 4558.76904297,  2671.5637207, 4558.76904297,  2671.5637207,             6,             0, 8.92317363479e-18, 0.0870231688023,             0,             0,             0,             0,             0, -1.21882736566e-15,             0,             0,             0,             0,             0, -1.21882874209e-15, -0.0321529656649, 0.00103921163827, 0.0321529656649, -0.00103921163827, 5.29519987106, 5.29522943497, 5.29519987106, 5.29522943497, 10.8147382736, 0.0176477413625, -0.0176477413625, -7.4123565223e-15,             1, 119.596763611,           120, 119.596305847, 10.8152008057, 7.90523481369, 10.8152008057, 7.90523481369, 10.8147382736, 10.8152008057, 7.90523481369, 27.4253368378, 10.8152008057, 7.90523481369, 3.71367540271e-16,             0, 0.0176965966821, -0.000424406316597, -0.0176965966821, 0.000424406316597, 0.837387502193, 0.837505459785, -0.837387502193, -0.837505459785, 8.92317363479e-18, 0.837565422058, 0.837499558926,             0, -0.837565422058, -0.837499558926,             0,             0,             0,             0, -0.00542840361595, 0.316989630461, 0.324031472206,             0, 0.316989630461, 0.324031472206
         0.35, -0.0193111803383, 0.0020229103975, 0.0193111803383, -0.0020229103975, 5.74568282627e-16, 1.32738020312e-17,             0, 160.541915894, -18.3548908234, 160.541915894, -18.3548908234, 28.3530464172, -1.42604219913, -28.3530464172, 1.42604219913, 4546.63671875, 2682.93041992, 4546.63671875, 2682.93041992,             6,             0, 1.26297691325e-17, 0.0807856917381,             0,             0,             0,             0,             0, -1.1020906613e-15,             0,             0,             0,             0,             0, -1.10209172009e-15, -0.0341676734388, 0.00284220906906, 0.0341676734388, -0.00284220906906,  5.7023692131, 5.70183515549,  5.7023692131, 5.70183515549,  11.645280838, 0.0187112335116, -0.0187112335116, -8.06710028504e-15,             1, 119.584617615,           120,  119.58404541, 11.6457090378, 8.73574352264, 11.6457090378, 8.73574352264,  11.645280838, 11.6457090378, 8.73574352264, 28.2541770935, 11.6457090378, 8.73574352264, 3.9326543307e-16,             0, 0.0187594275922, -0.00122544437181, -0.0187594275922, 0.00122544437181, 0.837379932404, 0.837514877319, -0.837379932404, -0.837514877319, 1.26297691325e-17, 0.837568998337, 0.837498784065,             0, -0.837568998337, -0.837498784065,             0,             0,             0,             0, -0.00522397784516, 0.317034870386, 0.323989063501,             0, 0.317034870386, 0.323989063501
        0.375, -0.0206192992628, 0.00336080999114, 0.0206192992628, -0.00336080999114, 1.83826557754e-16, 8.20249699288e-17,             0, 201.358413696, -19.2587757111, 201.358413696, -19.2587757111,  30.175409317, -2.57318615913, -30.175409317, 2.57318615913, 4533.30517578, 2695.34667969, 4533.30517578, 2695.34667969,             6,             0, 1.30669952976e-17, 0.0735096260905,             0,             0,             0,             0,             0, -1.33078987469e-15,             0,             0,             0,             0,             0, -1.33079093349e-15, -0.0363866649568, 0.00539251929149, 0.0363866649568, -0.00539251929149, 6.10966587067, 6.10840559006, 6.10966587067, 6.10840559006, 12.4757680893, 0.0199617557228, -0.0199617557228, -8.27047204864e-15,             1, 119.577850342,           120, 119.577209473, 12.4761543274, 9.56619262695, 12.4761543274, 9.56619262695, 12.4757680893, 12.4761543274, 9.56619262695, 29.0837135315, 12.4761543274, 9.56619262695, 4.02439964559e-16,             0, 0.0200084559619, -0.00229702051729, -0.0200084559619, 0.00229702051729, 0.837371587753, 0.837528169155, -0.837371587753, -0.837528169155, 1.30669952976e-17, 0.837572932243, 0.837497711182,             0, -0.837572932243, -0.837497711182,             0,             0,             0,             0, -0.00499963248149, 0.317084610462, 0.32394272089,             0, 0.317084610462, 0.32394272089
          0.4, -0.0220375955105, 0.00490807229653, 0.0220375955105, -0.00490807229653, 7.73430548698e-17, 1.41308865464e-16,             0, 232.482376099, -19.933588028, 232.482376099, -19.933588028, 32.1497459412, -3.94527935982, -32.1497459412, 3.94527935982, 4521.58496094, 2705.09863281, 4521.58496094, 2705.09863281,             6,             0, 1.20443949196e-17, 0.0657742843032,             0,             0,             0,             0,             0, -1.77088998288e-15,             0,             0,             0,             0,             0, -1.77089114755e-15, -0.0387980937958, 0.00858085043728, 0.0387980937958, -0.00858085043728, 6.51707172394, 6.51495742798, 6.51707172394, 6.51495742798, 13.3062267303, 0.0213327985257, -0.0213327985257, -8.259812139e-15,             1, 119.575294495,           120, 119.574638367, 13.3065690994, 10.3966112137, 13.3065690994, 10.3966112137, 13.3062267303, 13.3065690994, 10.3966112137,  29.913816452, 13.3065690994, 10.3966112137, 4.05276836718e-16,             0, 0.021377351135, -0.00366082182154, -0.021377351135, 0.00366082182154, 0.837362349033, 0.837544798851, -0.837362349033, -0.837544798851, 1.20443949196e-17, 0.837577104568, 0.83749628067,             0, -0.837577104568, -0.83749628067,             0, 5.55111512313e-17,             0, 5.55111512313e-17, -0.00476662162691, 0.317128330469, 0.323906332254,             0, 0.317128330469, 0.323906332254
        0.425, -0.0234564095736, 0.00648235855624, 0.0234564095736, -0.00648235855624, 4.80038188104e-16, -5.18287085803e-17,             0, 255.520446777, -20.422372818, 255.520446777, -20.422372818, 34.2659912109, -5.40022611618, -34.2659912109, 5.40022611618, 4513.29296875, 2710.49951172, 4513.29296875, 2710.49951172,             6,             0, 1.44050740893e-17, 0.0581647194922,             0,             0,             0,             0,             0, -1.90329023226e-15,             0,             0,             0,             0,             0, -1.90329129105e-15, -0.0413320548832, 0.0121162468567, 0.0413320548832, -0.0121162468567, 6.92456817627, 6.92150306702, 6.92456817627, 6.92150306702, 14.1366786957, 0.0227270312607, -0.0227270312607, -8.30290917535e-15,             1, 119.575889587,           120, 119.575263977, 14.1369762421, 11.2270240784, 14.1369762421, 11.2270240784, 14.1366786957, 14.1369762421, 11.2270240784,  30.744354248, 14.1369762421, 11.2270240784, 4.00392659456e-16,             0, 0.0227690022439, -0.00517323240638, -0.0227690022439, 0.00517323240638, 0.837352633476, 0.837563157082, -0.837352633476, -0.837563157082, 1.44050740893e-17, 0.837581396103, 0.837494671345,             0, -0.837581396103, -0.837494671345, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00453704223037, 0.31715926528, 0.323886185884,             0, 0.31715926528, 0.323886185884
         0.45, -0.0249023456126, 0.00797263067216, 0.0249023456126, -0.00797263067216, -1.21704785532e-15, -2.1120986239e-16,             0, 272.453613281, -20.7820987701, 272.453613281, -20.7820987701, 36.4403457642, -6.79937267303, -36.4403457642, 6.79937267303, 4508.72753906, 2712.37255859, 4508.72753906, 2712.37255859,             6,             0, 2.50234063242e-17, 0.051026456058,             0,             0,             0,             0,             0, -1.13583084232e-15,             0,             0,             0,             0,             0, -1.13583137172e-15, -0.0438983887434, 0.0156868994236, 0.0438983887434, -0.0156868994236, 7.33213949203, 7.32805156708, 7.33213949203, 7.32805156708, 14.9671392441, 0.0241742394865, -0.0241742394865, -9.4586551387e-15,             1, 119.578811646,           120, 119.578231812, 14.9673948288, 12.0574483871, 14.9673948288, 12.0574483871, 14.9671392441, 14.9673948288, 12.0574483871, 31.5752277374, 14.9673948288, 12.0574483871, 4.25137059413e-16,             0, 0.0242133438587, -0.00669974088669, -0.0242133438587, 0.00669974088669, 0.837342679501, 0.837581694126, -0.837342679501, -0.837581694126, 2.50234063242e-17, 0.837585687637, 0.837493002415,             0, -0.837585687637, -0.837493002415,             0,             0,             0,             0, -0.00431943591684, 0.317176282406, 0.323879182339,             0, 0.317176282406, 0.323879182339
        0.475, -0.0263020116836, 0.00937677640468, 0.0263020116836, -0.00937677640468, -3.82170635538e-15, -1.22149099311e-17,             0, 284.973876953, -21.0571422577, 284.973876953, -21.0571422577,  38.575302124, -8.08528804779, -38.575302124, 8.08528804779, 4507.00927734, 2712.77416992, 4507.00927734, 2712.77416992,             6,             0, 2.67379862979e-17, 0.0444277822971,             0,             0,             0,             0,             0, -1.03855366113e-15,             0,             0,             0,             0,             0, -1.03855397877e-15, -0.0464083701372, 0.0190950222313, 0.0464083701372, -0.0190950222313, 7.73977375031, 7.73461008072, 7.73977375031, 7.73461008072,  15.797621727, 0.0255961082876, -0.0255961082876, -8.12508053731e-15,             1, 119.583450317,           120,  119.58290863, 15.7978382111, 12.8878965378, 15.7978382111, 12.8878965378,  15.797621727, 15.7978382111, 12.8878965378, 32.4063568115, 15.7978382111, 12.8878965378, 3.45394069037e-16,             0, 0.0256321020424, -0.0081830797717, -0.0256321020424, 0.0081830797717, 0.837332904339, 0.837599337101, -0.837332904339, -0.837599337101, 2.67379862979e-17, 0.837589800358, 0.837491393089,             0, -0.837589800358, -0.837491393089,             0, 5.55111512313e-17,             0, 5.55111512313e-17, -0.00411733239889, 0.317182689905, 0.323877692223,             0, 0.317182689905, 0.323877692223
