time,Vx_L1,Vx_R1,Vx_L2,Vx_R2,Vx_SM,Pbk_Con
0,0,0,0,0,0,0
0.001,69.99634535505714,69.99634837012088,69.99903030878109,69.99903030878109,69.99967433778859,0
0.002,69.99096047487132,69.99095943239367,69.99757795485161,69.99757802114409,69.99918304214812,0
0.003,69.98412709503496,69.98410109050374,69.9957021590843,69.99570248468444,69.99851956058787,0
0.004,69.97937136115658,69.97931139154844,69.99428298764437,69.99428368630342,69.99801365326667,0
0.005,69.97499479107923,69.97488951653367,69.99288997224657,69.99289121744796,69.99749958642389,0
0.006,69.96981476459595,69.9696356151464,69.99104893867099,69.99105124683422,69.99680013069572,0
0.007,69.96644002323355,69.96619836417287,69.98967881897022,69.98968220711905,69.99626467636833,0
0.008,69.96350158858641,69.96319349433955,69.98831436784771,69.98831908465901,69.99572002779057,0
0.009000000000000001,69.96023746269529,69.95983779897337,69.98650571110042,69.98651264145344,69.9949798601608,0
0.01,69.95824760030183,69.95777880803647,69.98515596357748,69.98516490596219,69.994414863206,0
0.011,69.95661724490267,69.95608010836578,69.98380899594385,69.98382024670492,69.99384211296088,0
0.012,69.9549375864265,69.95431208968954,69.98201943144731,69.98203427023259,69.99306747173817,0
0.01300000000000001,69.95399816716002,69.95330927284059,69.98068122141466,69.98069914701333,69.99247920090549,0
0.01400000000000001,69.95329166714025,69.9525423064308,69.97934381173944,69.97936515091774,69.99188553822734,0
0.01500000000000001,69.95264213967417,69.95181725731624,69.97756419736312,69.97759064294431,69.99108677793429,0
0.01600000000000001,69.95232695274748,69.9514494771076,69.97623167740098,69.97626237834304,69.99048318307868,0
0.01700000000000001,69.95212331631636,69.9511968168047,69.97489874426969,69.97493404846038,69.98987645297143,0
0.01800000000000001,69.95196995409553,69.95098370929262,69.97312345163108,69.97316548138851,69.98906351020142,0
0.01900000000000001,69.95190909536341,69.95088225394447,69.97179317392303,69.97184069641831,69.9884514647773,0
0.02000000000000001,69.95187045287098,69.95080660295324,69.97046183181685,69.97051521185546,69.98783793783305,0
0.02100000000000001,69.95181815376603,69.95071122492911,69.96868782254023,69.96874962845193,69.98701812501126,0
0.02200000000000001,69.95175541808069,69.95062229347856,69.96735803537817,69.96742662942103,69.98640234155684,0
0.02300000000000001,69.95165859798749,69.95050373451886,69.96602690691375,69.96610266883458,69.98578610312991,0
0.02400000000000001,69.95146013877076,69.95028250134543,69.96425287064088,69.96433883085196,69.98496393234238,0
0.02500000000000002,69.9512527999693,69.95006223640722,69.96292291877064,69.96301701513087,69.98434703543906,0
0.02600000000000002,69.95099302985702,69.94979274581596,69.96159156634676,69.96169419267834,69.98373002516109,0
0.02700000000000002,69.95056532797003,69.94935654535449,69.95981719695452,69.95993186185184,69.98290704957522,0
0.02800000000000002,69.95018625185898,69.94897410903441,69.95848701010247,69.95861120894014,69.98228954710434,0
0.02900000000000002,69.94976066475442,69.94854749411536,69.95715546727315,69.95728960667094,69.98167182335385,0
0.03000000000000002,69.94912822184924,69.94791691465048,69.95538093762352,69.95552901785705,69.98084759863802,0
0.03100000000000002,69.9486110932144,69.94740334510425,69.95405071981347,69.95420977576444,69.98022887778349,0
0.03200000000000002,69.94806228923258,69.9468597496969,69.95271924385186,69.95288969252432,69.97960966713293,0
0.03300000000000002,69.94728970753349,69.94609636087381,69.95094496417566,69.95113130673846,69.97878302585093,0
0.03400000000000002,69.94668535418117,69.94550038332629,69.94961506710671,69.94981386126021,69.97816217362924,0
0.03500000000000002,69.94606394281779,69.94488846449173,69.94828404793118,69.9484957175377,69.97754057269738,0
0.03600000000000003,69.94521542778463,69.94405412084078,69.946510591281,69.94674014224518,69.97671037949849,0
0.03700000000000003,69.94456810292292,69.94341842838129,69.9451814849924,69.9454249842055,69.97608662265081,0
0.03800000000000003,69.94391420811282,69.94277693429036,69.94385143128261,69.94410930527592,69.97546193931096,0
0.03900000000000003,69.94303606907336,69.94191640898141,69.94207953300506,69.9423572908224,69.97462741128017,0
0.04000000000000003,69.94237494826083,69.94126915472982,69.94075181343072,69.94104502203525,69.97400027102169,0
0.04100000000000003,69.94171304511993,69.94062144626039,69.93942336365312,69.93973244801192,69.97337211960452,0
0.04200000000000003,69.94083079866833,69.93975866488403,69.93765393810611,69.93798490419974,69.97253288289407,0
0.04300000000000003,69.94017001266415,69.93911296646347,69.93632833911354,69.93667625028276,69.97190217508923,0
0.04400000000000003,69.9395103685432,69.93846888320964,69.9350022713077,69.93536754734681,69.97127044147669,0
0.04500000000000003,69.93863293863299,69.9376130341235,69.93323641888782,69.9336255530808,69.97042643002683,0
0.04600000000000003,69.93797647365773,69.93697343441275,69.9319138117359,69.93232136535791,69.96979215561977,0
0.04700000000000004,69.93732130170584,69.93633575031574,69.93059103794774,69.93101742285407,69.96915687627151,0
0.04800000000000004,69.93644944824304,69.93548823335988,69.92883003115806,69.92928221642411,69.96830818409553,0
0.04900000000000004,69.93579652944287,69.9348543596677,69.92751141043119,69.92798346129598,69.96767044173973,0
0.05000000000000004,69.93514415204199,69.93422171843355,69.92619296108568,69.92668527988866,69.9670317344978,0
0.05100000000000004,69.93427459882102,69.93337957092452,69.92443822186418,69.92495824139111,69.96617854143952,0
0.05200000000000004,69.93362223670142,69.93274857887889,69.92312468760456,69.92366598631884,69.96553747821534,0
0.05300000000000004,69.93296937602946,69.93211777916591,69.92181169301504,69.9223746630895,69.96489549705017,0
0.05400000000000004,69.9320975164414,69.9312764408599,69.92006476698846,69.92065729308551,69.96403801458834,0
